THÔNG TIN SP,,,,,,,,PHÂN LOẠI,GIÁ SX,TỒN KHO,,
PO88,PO88-KEMVANG-M,PO88,KEM VÀNG,M,,,,,1,42,"4,494,000 đ",
PO88,PO88-KEMVANG-L,PO88,KEM VÀNG,L,,,,,1,19,"2,033,000 đ",
PO88,PO88-KEMVANG-XL,PO88,KEM VÀNG,XL,,,,,1,67,"7,169,000 đ",
PO88,PO88-KEMVANG-XXL,PO88,KEM VÀNG,XXL,,,,,1,36,"3,852,000 đ",
PO88,PO88-DAT-M,PO88,ĐẤT,M,,,,,0,194,"20,758,000 đ",
PO88,PO88-DAT-L,PO88,ĐẤT,L,,,,,0,178,"19,046,000 đ",
PO88,PO88-DAT-XL,PO88,ĐẤT,XL,,,,,0,163,"17,441,000 đ",
PO88,PO88-DAT-XXL,PO88,ĐẤT,XXL,,,,,0,108,"11,556,000 đ",
PO88,PO88-KEMVANGNEW-M,PO88,KEM VÀNG NEW,M,,,,,1,0,0 đ,
PO88,PO88-KEMVANGNEW-L,PO88,KEM VÀNG NEW,L,,,,,1,0,0 đ,
PO88,PO88-KEMVANGNEW-XL,PO88,KEM VÀNG NEW,XL,,,,,1,0,0 đ,
PO88,PO88-KEMVANGNEW-XXL,PO88,KEM VÀNG NEW,XXL,,,,,1,0,0 đ,
PO88,PO88-KHAKI-M,PO88,KHAKI,M,,,,,0,135,"14,445,000 đ",
PO88,PO88-KHAKI-L,PO88,KHAKI,L,,,,,0,130,"13,910,000 đ",
PO88,PO88-KHAKI-XL,PO88,KHAKI,XL,,,,,0,115,"12,305,000 đ",
PO88,PO88-KHAKI-XXL,PO88,KHAKI,XXL,,,,,0,133,"14,231,000 đ",
PO88,PO88-DONAU-M,PO88,ĐỎ NÂU,M,,,,,1,77,"8,239,000 đ",
PO88,PO88-DONAU-L,PO88,ĐỎ NÂU,L,,,,,1,0,0 đ,
PO88,PO88-DONAU-XL,PO88,ĐỎ NÂU,XL,,,,,1,40,"4,280,000 đ",
PO88,PO88-DONAU-XXL,PO88,ĐỎ NÂU,XXL,,,,,1,70,"7,490,000 đ",
PO88,PO88-XAMDAMNEW-M,PO88,XÁM ĐẬM NEW,M,,,,,1,0,0 đ,
PO88,PO88-XAMDAMNEW-L,PO88,XÁM ĐẬM NEW,L,,,,,1,0,0 đ,
PO88,PO88-XAMDAMNEW-XL,PO88,XÁM ĐẬM NEW,XL,,,,,1,0,0 đ,
PO88,PO88-XAMDAMNEW-XXL,PO88,XÁM ĐẬM NEW,XXL,,,,,1,0,0 đ,
PO88,PO88-NAUNHAT-M,PO88,NÂU NHẠT,M,,,,,0,158,"16,906,000 đ",
PO88,PO88-NAUNHAT-L,PO88,NÂU NHẠT,L,,,,,0,167,"17,869,000 đ",
PO88,PO88-NAUNHAT-XL,PO88,NÂU NHẠT,XL,,,,,0,179,"19,153,000 đ",
PO88,PO88-NAUNHAT-XXL,PO88,NÂU NHẠT,XXL,,,,,0,123,"13,161,000 đ",
PO88,PO88-BEHONG-M,PO88,BE HỒNG,M,,,,,1,0,0 đ,
PO88,PO88-BEHONG-L,PO88,BE HỒNG,L,,,,,1,0,0 đ,
PO88,PO88-BEHONG-XL,PO88,BE HỒNG,XL,,,,,1,0,0 đ,
PO88,PO88-BEHONG-XXL,PO88,BE HỒNG,XXL,,,,,1,0,0 đ,
7,MORA,PO92,A BẢO,PHỐI,REGULAR,,ÁO POLO,SẢN PHẨM CHỦ LỰC,"116,000 đ",0,0 đ,0%
,,MÃ SP,MÀU,SIZE,HÌNH,,,SẢN PHẨM CHỦ LỰC,DAY,TỒN KHO,TỔNG TIỀN,
PO92,PO92-XANH DEN-M,PO92,XANH ĐEN,M,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO92,PO92-XANH DEN-L,PO92,XANH ĐEN,L,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
